ApplicantName,JobPosition,Email,PhoneNumber
pukpok skibidi toilet,Sales,akdiajdj@dkadad.com,0381234527
Sorawit Wongtim,Developer,love@gmail.com,0515155557
Sora wit Wongthim,HR Specialist,job@gmail.com,0123456789
option lost all,Accountant,ja@gmail.com,01235465111546
auy muay,Marketing,luy@kmitl.ac.th,0136548896262
people motern,Developer,hackker@gmail.com,012346251
Goodboy mohaha,HR Specialist,kiki@gmail.org,5552615511515
ploy market option,Sales,host@gmail.com,15415614541
momo kaimook,Accountant,sab@mall.com,01236544
pycok pocky,Developer,numwun@moo.com,1242585241
Suksun Thunder Express,Marketing,hotel@ago.ac.th,0284521127
Boat vim,Developer,path@outlook.com,0865945133
Light linggunggu Skibidi,Marketing,unbreaK@gmail.com,0254896545
today mook lover,HR Specialist,popo@gmail.com,0126545545
mobile phone,HR Specialist,ling@gmail.com,0125412547
pupha top onepercent,Developer,curse99@gmail.com,023365555
Name ling,HR Specialist,ginger@gmail.com,15544544454
